Location Name,Y,X,Source,Source URL
Lutong,4.475616959,114.009431,CHOKE HOLD: THE ATTACK ON JAPANESE OIL IN WORLD WAR II,"www.dtic.mil/dtic/tr/fulltext/u2/a425684.pdf
"
Tarakan,3.320881531,117.5797665,CHOKE HOLD: THE ATTACK ON JAPANESE OIL IN WORLD WAR II,"www.dtic.mil/dtic/tr/fulltext/u2/a425684.pdf
"
Balikpapan,-1.2350109,116.8355551,CHOKE HOLD: THE ATTACK ON JAPANESE OIL IN WORLD WAR II,"www.dtic.mil/dtic/tr/fulltext/u2/a425684.pdf
"
Sourabaya,-7.250752609,112.7521626,CHOKE HOLD: THE ATTACK ON JAPANESE OIL IN WORLD WAR II,"www.dtic.mil/dtic/tr/fulltext/u2/a425684.pdf
"
Palembang,-2.976566701,104.7701711,CHOKE HOLD: THE ATTACK ON JAPANESE OIL IN WORLD WAR II,"www.dtic.mil/dtic/tr/fulltext/u2/a425684.pdf
"
